sample_id,user_id,label,json_path,image_path,video_path,device,created_at,raw_points,clean_points,dropped_invalid,dropped_repeated,dropped_jumps,num_strokes,bbox_width,bbox_height,bbox_scale,test_fold_id,warnings
20260711_220930_a944cy,for_bonhi,ঔ,output/for_bonhi/ঔ/ঔ_20260711_220930_a944cy.json,output/for_bonhi/ঔ/ঔ_20260711_220930_a944cy.png,output/for_bonhi/ঔ/ঔ_20260711_220930_a944cy.mp4,macOS Chrome desktop,2026-07-11T16:09:30.070Z,601,601,0,0,0,8,0.456002,0.897709,0.897709,0,
20260703_231939_jmltkn,user1,অ,output/user1/অ/অ_20260703_231939_jmltkn.json,output/user1/অ/অ_20260703_231939_jmltkn.png,output/user1/অ/অ_20260703_231939_jmltkn.mp4,Linux Chrome desktop,2026-07-03T17:19:39.900Z,102,102,0,0,0,1,0.386784,0.250768,0.386784,1,
20260704_230134_0i7e7o,user1,অ,output/user1/অ/অ_20260704_230134_0i7e7o.json,output/user1/অ/অ_20260704_230134_0i7e7o.png,output/user1/অ/অ_20260704_230134_0i7e7o.mp4,Linux Chrome desktop,2026-07-04T17:01:34.908Z,143,143,0,0,0,2,0.339613,0.263061,0.339613,1,
20260704_230207_s0bru0,user1,অ,output/user1/অ/অ_20260704_230207_s0bru0.json,output/user1/অ/অ_20260704_230207_s0bru0.png,output/user1/অ/অ_20260704_230207_s0bru0.mp4,Linux Chrome desktop,2026-07-04T17:02:07.349Z,131,131,0,0,0,4,0.370459,0.231689,0.370459,1,
20260704_230243_20ggrl,user1,অ,output/user1/অ/অ_20260704_230243_20ggrl.json,output/user1/অ/অ_20260704_230243_20ggrl.png,output/user1/অ/অ_20260704_230243_20ggrl.mp4,Linux Chrome desktop,2026-07-04T17:02:43.933Z,218,218,0,0,0,5,0.388034,0.276591,0.388034,1,
20260704_230314_biogka,user1,অ,output/user1/অ/অ_20260704_230314_biogka.json,output/user1/অ/অ_20260704_230314_biogka.png,output/user1/অ/অ_20260704_230314_biogka.mp4,Linux Chrome desktop,2026-07-04T17:03:14.419Z,169,169,0,0,0,3,0.40148,0.491091,0.491091,1,
20260704_230343_z76un4,user1,অ,output/user1/অ/অ_20260704_230343_z76un4.json,output/user1/অ/অ_20260704_230343_z76un4.png,output/user1/অ/অ_20260704_230343_z76un4.mp4,Linux Chrome desktop,2026-07-04T17:03:43.455Z,219,219,0,0,0,4,0.453705,0.403296,0.453705,1,
20260704_230438_1by20a,user1,অ,output/user1/অ/অ_20260704_230438_1by20a.json,output/user1/অ/অ_20260704_230438_1by20a.png,output/user1/অ/অ_20260704_230438_1by20a.mp4,Linux Chrome desktop,2026-07-04T17:04:38.004Z,173,173,0,0,0,4,0.38943,0.38764,0.38943,1,
20260704_230508_zz8agk,user1,অ,output/user1/অ/অ_20260704_230508_zz8agk.json,output/user1/অ/অ_20260704_230508_zz8agk.png,output/user1/অ/অ_20260704_230508_zz8agk.mp4,Linux Chrome desktop,2026-07-04T17:05:08.436Z,206,206,0,0,0,6,0.519429,0.457348,0.519429,1,
20260704_230530_8783vw,user1,অ,output/user1/অ/অ_20260704_230530_8783vw.json,output/user1/অ/অ_20260704_230530_8783vw.png,output/user1/অ/অ_20260704_230530_8783vw.mp4,Linux Chrome desktop,2026-07-04T17:05:30.652Z,167,167,0,0,0,3,0.396899,0.312728,0.396899,1,
20260704_230601_9fuwl5,user1,অ,output/user1/অ/অ_20260704_230601_9fuwl5.json,output/user1/অ/অ_20260704_230601_9fuwl5.png,output/user1/অ/অ_20260704_230601_9fuwl5.mp4,Linux Chrome desktop,2026-07-04T17:06:01.169Z,183,183,0,0,0,2,0.419809,0.364738,0.419809,1,
20260704_230631_iep9zz,user1,অ,output/user1/অ/অ_20260704_230631_iep9zz.json,output/user1/অ/অ_20260704_230631_iep9zz.png,output/user1/অ/অ_20260704_230631_iep9zz.mp4,Linux Chrome desktop,2026-07-04T17:06:31.754Z,186,186,0,0,0,2,0.424746,0.322832,0.424746,1,
20260709_222041_giojuy,user1,অ,output/user1/অ/অ_20260709_222041_giojuy.json,output/user1/অ/অ_20260709_222041_giojuy.png,output/user1/অ/অ_20260709_222041_giojuy.mp4,Linux Chrome desktop,2026-07-09T16:20:41.439Z,163,163,0,0,0,8,0.610534,0.520576,0.610534,1,
20260704_230720_4nlmlz,user1,আ,output/user1/আ/আ_20260704_230720_4nlmlz.json,output/user1/আ/আ_20260704_230720_4nlmlz.png,output/user1/আ/আ_20260704_230720_4nlmlz.mp4,Linux Chrome desktop,2026-07-04T17:07:20.785Z,223,223,0,0,0,5,0.486529,0.420184,0.486529,1,
20260704_230748_cofjqd,user1,আ,output/user1/আ/আ_20260704_230748_cofjqd.json,output/user1/আ/আ_20260704_230748_cofjqd.png,output/user1/আ/আ_20260704_230748_cofjqd.mp4,Linux Chrome desktop,2026-07-04T17:07:48.960Z,197,197,0,0,0,2,0.445326,0.235282,0.445326,1,
20260704_230823_p4djtm,user1,আ,output/user1/আ/আ_20260704_230823_p4djtm.json,output/user1/আ/আ_20260704_230823_p4djtm.png,output/user1/আ/আ_20260704_230823_p4djtm.mp4,Linux Chrome desktop,2026-07-04T17:08:23.458Z,264,264,0,0,0,4,0.576355,0.379358,0.576355,1,
20260704_230900_jm6b9y,user1,আ,output/user1/আ/আ_20260704_230900_jm6b9y.json,output/user1/আ/আ_20260704_230900_jm6b9y.png,output/user1/আ/আ_20260704_230900_jm6b9y.mp4,Linux Chrome desktop,2026-07-04T17:09:00.548Z,299,299,0,0,0,4,0.676437,0.479855,0.676437,1,
20260704_230941_ogdcp4,user1,আ,output/user1/আ/আ_20260704_230941_ogdcp4.json,output/user1/আ/আ_20260704_230941_ogdcp4.png,output/user1/আ/আ_20260704_230941_ogdcp4.mp4,Linux Chrome desktop,2026-07-04T17:09:41.134Z,277,277,0,0,0,3,0.787813,0.459442,0.787813,1,
20260704_231010_4ha6y7,user1,আ,output/user1/আ/আ_20260704_231010_4ha6y7.json,output/user1/আ/আ_20260704_231010_4ha6y7.png,output/user1/আ/আ_20260704_231010_4ha6y7.mp4,Linux Chrome desktop,2026-07-04T17:10:10.093Z,266,266,0,0,0,3,0.685205,0.42998,0.685205,1,
20260728_232136_0wkg0v,user1,আ,output/user1/আ/আ_20260728_232136_0wkg0v.json,output/user1/আ/আ_20260728_232136_0wkg0v.png,output/user1/আ/আ_20260728_232136_0wkg0v.mp4,Linux Chrome desktop,2026-07-28T17:21:36.892Z,215,215,0,0,0,3,0.530184,0.378483,0.530184,1,
20260728_232203_7c77zv,user1,আ,output/user1/আ/আ_20260728_232203_7c77zv.json,output/user1/আ/আ_20260728_232203_7c77zv.png,output/user1/আ/আ_20260728_232203_7c77zv.mp4,Linux Chrome desktop,2026-07-28T17:22:03.534Z,236,236,0,0,0,9,0.618815,0.32818,0.618815,1,
20260728_232238_kgwkds,user1,আ,output/user1/আ/আ_20260728_232238_kgwkds.json,output/user1/আ/আ_20260728_232238_kgwkds.png,output/user1/আ/আ_20260728_232238_kgwkds.mp4,Linux Chrome desktop,2026-07-28T17:22:38.909Z,334,334,0,0,0,9,0.609111,0.460931,0.609111,1,
20260728_232316_s2ep8l,user1,আ,output/user1/আ/আ_20260728_232316_s2ep8l.json,output/user1/আ/আ_20260728_232316_s2ep8l.png,output/user1/আ/আ_20260728_232316_s2ep8l.mp4,Linux Chrome desktop,2026-07-28T17:23:16.011Z,281,281,0,0,0,5,0.470243,0.432034,0.470243,1,
20260705_210750_hp0ub6,user1,ই,output/user1/ই/ই_20260705_210750_hp0ub6.json,output/user1/ই/ই_20260705_210750_hp0ub6.png,output/user1/ই/ই_20260705_210750_hp0ub6.mp4,Linux Chrome desktop,2026-07-05T15:07:50.100Z,189,189,0,0,0,6,0.571801,0.678908,0.678908,1,
20260705_210817_cpe63z,user1,ই,output/user1/ই/ই_20260705_210817_cpe63z.json,output/user1/ই/ই_20260705_210817_cpe63z.png,output/user1/ই/ই_20260705_210817_cpe63z.mp4,Linux Chrome desktop,2026-07-05T15:08:17.145Z,245,245,0,0,0,8,0.416899,0.469968,0.469968,1,
20260705_210847_8d63gb,user1,ই,output/user1/ই/ই_20260705_210847_8d63gb.json,output/user1/ই/ই_20260705_210847_8d63gb.png,output/user1/ই/ই_20260705_210847_8d63gb.mp4,Linux Chrome desktop,2026-07-05T15:08:47.954Z,230,230,0,0,0,5,0.511888,0.527078,0.527078,1,
20260705_210914_6z0wyv,user1,ই,output/user1/ই/ই_20260705_210914_6z0wyv.json,output/user1/ই/ই_20260705_210914_6z0wyv.png,output/user1/ই/ই_20260705_210914_6z0wyv.mp4,Linux Chrome desktop,2026-07-05T15:09:14.890Z,171,171,0,0,0,2,0.43368,0.553823,0.553823,1,
20260705_211104_cee4mp,user1,ই,output/user1/ই/ই_20260705_211104_cee4mp.json,output/user1/ই/ই_20260705_211104_cee4mp.png,output/user1/ই/ই_20260705_211104_cee4mp.mp4,Linux Chrome desktop,2026-07-05T15:11:04.637Z,222,222,0,0,0,6,0.363844,0.543858,0.543858,1,
20260705_211129_q9xd7j,user1,ই,output/user1/ই/ই_20260705_211129_q9xd7j.json,output/user1/ই/ই_20260705_211129_q9xd7j.png,output/user1/ই/ই_20260705_211129_q9xd7j.mp4,Linux Chrome desktop,2026-07-05T15:11:29.635Z,158,158,0,0,0,5,0.435707,0.520354,0.520354,1,
