fold_id,user_id,role,split_policy
0,for_bonhi,test,leave_one_user_out
0,user1,train,leave_one_user_out
0,user2,train,leave_one_user_out
0,user3,train,leave_one_user_out
0,user4,train,leave_one_user_out
1,for_bonhi,train,leave_one_user_out
1,user1,test,leave_one_user_out
1,user2,train,leave_one_user_out
1,user3,train,leave_one_user_out
1,user4,train,leave_one_user_out
2,for_bonhi,train,leave_one_user_out
2,user1,train,leave_one_user_out
2,user2,test,leave_one_user_out
2,user3,train,leave_one_user_out
2,user4,train,leave_one_user_out
3,for_bonhi,train,leave_one_user_out
3,user1,train,leave_one_user_out
3,user2,train,leave_one_user_out
3,user3,test,leave_one_user_out
3,user4,train,leave_one_user_out
4,for_bonhi,train,leave_one_user_out
4,user1,train,leave_one_user_out
4,user2,train,leave_one_user_out
4,user3,train,leave_one_user_out
4,user4,test,leave_one_user_out
