sample_id,source_sample_id,user_id,label,role,outer_fold_id,inner_fold_id
20260703_231939_jmltkn__outer00__inner00__aug01,20260703_231939_jmltkn,user1,অ,train,0,0
20260703_231939_jmltkn__outer00__inner00__aug02,20260703_231939_jmltkn,user1,অ,train,0,0
20260703_231939_jmltkn__outer00__inner00__aug03,20260703_231939_jmltkn,user1,অ,train,0,0
20260704_230134_0i7e7o__outer00__inner00__aug01,20260704_230134_0i7e7o,user1,অ,train,0,0
20260704_230134_0i7e7o__outer00__inner00__aug02,20260704_230134_0i7e7o,user1,অ,train,0,0
20260704_230134_0i7e7o__outer00__inner00__aug03,20260704_230134_0i7e7o,user1,অ,train,0,0
20260704_230207_s0bru0__outer00__inner00__aug01,20260704_230207_s0bru0,user1,অ,train,0,0
20260704_230207_s0bru0__outer00__inner00__aug02,20260704_230207_s0bru0,user1,অ,train,0,0
20260704_230207_s0bru0__outer00__inner00__aug03,20260704_230207_s0bru0,user1,অ,train,0,0
20260704_230243_20ggrl__outer00__inner00__aug01,20260704_230243_20ggrl,user1,অ,train,0,0
20260704_230243_20ggrl__outer00__inner00__aug02,20260704_230243_20ggrl,user1,অ,train,0,0
20260704_230243_20ggrl__outer00__inner00__aug03,20260704_230243_20ggrl,user1,অ,train,0,0
20260704_230314_biogka__outer00__inner00__aug01,20260704_230314_biogka,user1,অ,train,0,0
20260704_230314_biogka__outer00__inner00__aug02,20260704_230314_biogka,user1,অ,train,0,0
20260704_230314_biogka__outer00__inner00__aug03,20260704_230314_biogka,user1,অ,train,0,0
20260704_230343_z76un4__outer00__inner00__aug01,20260704_230343_z76un4,user1,অ,train,0,0
20260704_230343_z76un4__outer00__inner00__aug02,20260704_230343_z76un4,user1,অ,train,0,0
20260704_230343_z76un4__outer00__inner00__aug03,20260704_230343_z76un4,user1,অ,train,0,0
20260704_230438_1by20a__outer00__inner00__aug01,20260704_230438_1by20a,user1,অ,train,0,0
20260704_230438_1by20a__outer00__inner00__aug02,20260704_230438_1by20a,user1,অ,train,0,0
20260704_230438_1by20a__outer00__inner00__aug03,20260704_230438_1by20a,user1,অ,train,0,0
20260704_230508_zz8agk__outer00__inner00__aug01,20260704_230508_zz8agk,user1,অ,train,0,0
20260704_230508_zz8agk__outer00__inner00__aug02,20260704_230508_zz8agk,user1,অ,train,0,0
20260704_230508_zz8agk__outer00__inner00__aug03,20260704_230508_zz8agk,user1,অ,train,0,0
20260704_230530_8783vw__outer00__inner00__aug01,20260704_230530_8783vw,user1,অ,train,0,0
20260704_230530_8783vw__outer00__inner00__aug02,20260704_230530_8783vw,user1,অ,train,0,0
20260704_230530_8783vw__outer00__inner00__aug03,20260704_230530_8783vw,user1,অ,train,0,0
20260704_230601_9fuwl5__outer00__inner00__aug01,20260704_230601_9fuwl5,user1,অ,train,0,0
20260704_230601_9fuwl5__outer00__inner00__aug02,20260704_230601_9fuwl5,user1,অ,train,0,0
20260704_230601_9fuwl5__outer00__inner00__aug03,20260704_230601_9fuwl5,user1,অ,train,0,0
20260704_230631_iep9zz__outer00__inner00__aug01,20260704_230631_iep9zz,user1,অ,train,0,0
20260704_230631_iep9zz__outer00__inner00__aug02,20260704_230631_iep9zz,user1,অ,train,0,0
20260704_230631_iep9zz__outer00__inner00__aug03,20260704_230631_iep9zz,user1,অ,train,0,0
20260709_222041_giojuy__outer00__inner00__aug01,20260709_222041_giojuy,user1,অ,train,0,0
20260709_222041_giojuy__outer00__inner00__aug02,20260709_222041_giojuy,user1,অ,train,0,0
20260709_222041_giojuy__outer00__inner00__aug03,20260709_222041_giojuy,user1,অ,train,0,0
20260704_230720_4nlmlz__outer00__inner00__aug01,20260704_230720_4nlmlz,user1,আ,train,0,0
20260704_230720_4nlmlz__outer00__inner00__aug02,20260704_230720_4nlmlz,user1,আ,train,0,0
20260704_230720_4nlmlz__outer00__inner00__aug03,20260704_230720_4nlmlz,user1,আ,train,0,0
20260704_230748_cofjqd__outer00__inner00__aug01,20260704_230748_cofjqd,user1,আ,train,0,0
20260704_230748_cofjqd__outer00__inner00__aug02,20260704_230748_cofjqd,user1,আ,train,0,0
20260704_230748_cofjqd__outer00__inner00__aug03,20260704_230748_cofjqd,user1,আ,train,0,0
20260704_230823_p4djtm__outer00__inner00__aug01,20260704_230823_p4djtm,user1,আ,train,0,0
20260704_230823_p4djtm__outer00__inner00__aug02,20260704_230823_p4djtm,user1,আ,train,0,0
20260704_230823_p4djtm__outer00__inner00__aug03,20260704_230823_p4djtm,user1,আ,train,0,0
20260704_230900_jm6b9y__outer00__inner00__aug01,20260704_230900_jm6b9y,user1,আ,train,0,0
20260704_230900_jm6b9y__outer00__inner00__aug02,20260704_230900_jm6b9y,user1,আ,train,0,0
20260704_230900_jm6b9y__outer00__inner00__aug03,20260704_230900_jm6b9y,user1,আ,train,0,0
20260704_230941_ogdcp4__outer00__inner00__aug01,20260704_230941_ogdcp4,user1,আ,train,0,0
20260704_230941_ogdcp4__outer00__inner00__aug02,20260704_230941_ogdcp4,user1,আ,train,0,0
20260704_230941_ogdcp4__outer00__inner00__aug03,20260704_230941_ogdcp4,user1,আ,train,0,0
20260704_231010_4ha6y7__outer00__inner00__aug01,20260704_231010_4ha6y7,user1,আ,train,0,0
20260704_231010_4ha6y7__outer00__inner00__aug02,20260704_231010_4ha6y7,user1,আ,train,0,0
20260704_231010_4ha6y7__outer00__inner00__aug03,20260704_231010_4ha6y7,user1,আ,train,0,0
20260728_232136_0wkg0v__outer00__inner00__aug01,20260728_232136_0wkg0v,user1,আ,train,0,0
20260728_232136_0wkg0v__outer00__inner00__aug02,20260728_232136_0wkg0v,user1,আ,train,0,0
20260728_232136_0wkg0v__outer00__inner00__aug03,20260728_232136_0wkg0v,user1,আ,train,0,0
20260728_232203_7c77zv__outer00__inner00__aug01,20260728_232203_7c77zv,user1,আ,train,0,0
20260728_232203_7c77zv__outer00__inner00__aug02,20260728_232203_7c77zv,user1,আ,train,0,0
20260728_232203_7c77zv__outer00__inner00__aug03,20260728_232203_7c77zv,user1,আ,train,0,0
20260728_232238_kgwkds__outer00__inner00__aug01,20260728_232238_kgwkds,user1,আ,train,0,0
20260728_232238_kgwkds__outer00__inner00__aug02,20260728_232238_kgwkds,user1,আ,train,0,0
20260728_232238_kgwkds__outer00__inner00__aug03,20260728_232238_kgwkds,user1,আ,train,0,0
20260728_232316_s2ep8l__outer00__inner00__aug01,20260728_232316_s2ep8l,user1,আ,train,0,0
20260728_232316_s2ep8l__outer00__inner00__aug02,20260728_232316_s2ep8l,user1,আ,train,0,0
