sample_id,augmented_sample_id,source_sample_id,user_id,label,role,outer_fold_id,inner_fold_id,num_points,num_strokes,bbox_width,bbox_height,bbox_area,bbox_aspect,centroid_x,centroid_y,std_x,std_y,start_x,start_y,end_x,end_y,delta_x,delta_y,path_length,straight_line_distance,straightness,stroke_transition_count,longest_stroke_ratio,single_point_strokes,dwell_step_ratio,step_mean,step_std,step_min,step_max,step_median,step_q25,step_q75,same_stroke_step_mean,same_stroke_step_std,same_stroke_step_min,same_stroke_step_max,same_stroke_step_median,same_stroke_step_q25,same_stroke_step_q75,acceleration_mean,acceleration_std,acceleration_min,acceleration_max,acceleration_median,acceleration_q25,acceleration_q75,curvature_mean,curvature_std,curvature_min,curvature_max,curvature_median,curvature_q25,curvature_q75,stroke_duration_points_mean,stroke_duration_points_std,stroke_duration_points_min,stroke_duration_points_max,stroke_duration_points_median,stroke_duration_points_q25,stroke_duration_points_q75,feature8d_0_mean,feature8d_0_std,feature8d_0_min,feature8d_0_max,feature8d_0_median,feature8d_0_q25,feature8d_0_q75,feature8d_1_mean,feature8d_1_std,feature8d_1_min,feature8d_1_max,feature8d_1_median,feature8d_1_q25,feature8d_1_q75,feature8d_2_mean,feature8d_2_std,feature8d_2_min,feature8d_2_max,feature8d_2_median,feature8d_2_q25,feature8d_2_q75,feature8d_3_mean,feature8d_3_std,feature8d_3_min,feature8d_3_max,feature8d_3_median,feature8d_3_q25,feature8d_3_q75,feature8d_4_mean,feature8d_4_std,feature8d_4_min,feature8d_4_max,feature8d_4_median,feature8d_4_q25,feature8d_4_q75,feature8d_5_mean,feature8d_5_std,feature8d_5_min,feature8d_5_max,feature8d_5_median,feature8d_5_q25,feature8d_5_q75,feature8d_6_mean,feature8d_6_std,feature8d_6_min,feature8d_6_max,feature8d_6_median,feature8d_6_q25,feature8d_6_q75,feature8d_7_mean,feature8d_7_std,feature8d_7_min,feature8d_7_max,feature8d_7_median,feature8d_7_q25,feature8d_7_q75
20260703_231939_jmltkn__outer00__inner00__aug01,20260703_231939_jmltkn__outer00__inner00__aug01,20260703_231939_jmltkn,user1,অ,train,0,0,114.0,1.0,0.944124,0.608839,0.57482,1.550696,0.093516,-0.055718,0.25313,0.182226,0.053075,-0.289438,0.14867,0.201079,0.095595,0.490517,3.829822,0.499745,0.130488,0.0,1.0,0.0,0.0,0.033892,0.023027,0.002052,0.125481,0.028545,0.014856,0.047055,0.033892,0.023027,0.002052,0.125481,0.028545,0.014856,0.047055,0.000529,0.026514,-0.082793,0.120257,-0.001962,-0.01416,0.014409,0.600078,0.675737,0.001655,2.970442,0.378776,0.180796,0.761178,114.0,0.0,114.0,114.0,114.0,114.0,114.0,0.000839,0.029506,-0.08871,0.081369,0.000664,-0.015393,0.011805,0.004303,0.027828,-0.089009,0.064841,0.005039,-0.006646,0.01943,0.206864,0.682323,-0.992937,0.999991,0.277623,-0.414065,0.927516,0.064866,0.698165,-0.994142,1.0,0.032468,-0.611955,0.834958,0.117159,0.467796,-0.989492,0.999543,0.057707,-0.234936,0.428976,0.727891,0.487457,-0.985393,1.0,0.933305,0.726397,0.98523,0.991228,0.093247,0.0,1.0,1.0,1.0,1.0,0.008772,0.093247,0.0,1.0,0.0,0.0,0.0
20260703_231939_jmltkn__outer00__inner00__aug02,20260703_231939_jmltkn__outer00__inner00__aug02,20260703_231939_jmltkn,user1,অ,train,0,0,84.0,1.0,1.005967,0.702728,0.706921,1.431517,0.090185,-0.095112,0.278331,0.205974,0.07107,-0.345455,0.139556,0.19439,0.068486,0.539845,4.122197,0.544172,0.13201,0.0,1.0,0.0,0.012048,0.049665,0.030873,0.001423,0.145756,0.043206,0.027167,0.068543,0.049665,0.030873,0.001423,0.145756,0.043206,0.027167,0.068543,0.000838,0.034028,-0.100031,0.083295,-0.000999,-0.019161,0.016953,0.596133,0.613142,0.001337,2.585052,0.429424,0.168326,0.788892,84.0,0.0,84.0,84.0,84.0,84.0,84.0,0.000815,0.041282,-0.089309,0.122766,-0.004856,-0.02341,0.019835,0.006427,0.040409,-0.131139,0.095294,0.011737,-0.009699,0.027014,0.160898,0.699053,-0.999811,0.999836,0.23583,-0.483513,0.912994,-0.005519,0.696711,-0.999642,1.0,-0.118104,-0.636408,0.744951,0.102884,0.503358,-0.909805,0.999993,0.10282,-0.170237,0.47647,0.732656,0.446386,-0.84908,1.0,0.912139,0.711969,0.987864,0.988095,0.108458,0.0,1.0,1.0,1.0,1.0,0.011905,0.108458,0.0,1.0,0.0,0.0,0.0
20260703_231939_jmltkn__outer00__inner00__aug03,20260703_231939_jmltkn__outer00__inner00__aug03,20260703_231939_jmltkn,user1,অ,train,0,0,86.0,1.0,0.974026,0.606239,0.590493,1.60667,0.069905,-0.034824,0.261725,0.17222,-0.00904,-0.263319,0.140629,0.22658,0.149669,0.489899,3.809739,0.512252,0.134458,0.0,1.0,0.0,0.011765,0.04482,0.038241,0.001508,0.254367,0.035879,0.022006,0.058003,0.04482,0.038241,0.001508,0.254367,0.035879,0.022006,0.058003,0.000752,0.042597,-0.136023,0.155239,-0.002274,-0.017389,0.017036,0.684545,0.656013,0.038525,3.042718,0.450031,0.242362,0.980645,86.0,0.0,86.0,86.0,86.0,86.0,86.0,0.00174,0.047425,-0.099387,0.252229,0.000348,-0.022509,0.018051,0.005696,0.033857,-0.087731,0.09103,0.005745,-0.009726,0.023295,0.203483,0.67836,-0.999898,0.999984,0.271296,-0.325237,0.888981,0.015055,0.70583,-0.994622,1.0,0.028893,-0.656138,0.729031,0.088477,0.550138,-0.997508,0.996437,0.115302,-0.311832,0.435742,0.684701,0.469792,-0.995117,1.0,0.904719,0.580262,0.977185,0.988372,0.107204,0.0,1.0,1.0,1.0,1.0,0.011628,0.107204,0.0,1.0,0.0,0.0,0.0
20260704_230134_0i7e7o__outer00__inner00__aug01,20260704_230134_0i7e7o__outer00__inner00__aug01,20260704_230134_0i7e7o,user1,অ,train,0,0,156.0,2.0,1.083405,0.845098,0.915583,1.281987,0.062071,-0.058506,0.339669,0.282691,-0.06599,0.172153,0.369412,-0.235297,0.435402,-0.40745,5.723469,0.596314,0.104188,1.0,0.538462,0.0,0.012987,0.036926,0.069317,0.001794,0.836342,0.025057,0.011486,0.042814,0.031735,0.025676,0.001794,0.11462,0.024656,0.011462,0.042329,-0.000137,0.09373,-0.820563,0.76952,0.000323,-0.010709,0.010737,0.859324,0.8117,0.008653,3.102448,0.578301,0.216659,1.255895,78.0,6.0,72.0,84.0,78.0,75.0,81.0,-0.00168,0.019697,-0.066951,0.066889,0.0,-0.012078,0.009601,-0.00557,0.034974,-0.11324,0.084919,0.001047,-0.021249,0.012721,-0.027003,0.77138,-0.999796,0.999434,0.038405,-0.880076,0.847643,0.051696,0.633696,-0.999999,1.0,0.026908,-0.452684,0.638409,-0.006403,0.576246,-0.989494,0.999942,-0.023901,-0.474954,0.490204,0.543536,0.610302,-0.999233,1.0,0.839639,0.327541,0.98047,0.987179,0.1125,0.0,1.0,1.0,1.0,1.0,0.012821,0.1125,0.0,1.0,0.0,0.0,0.0
20260704_230134_0i7e7o__outer00__inner00__aug02,20260704_230134_0i7e7o__outer00__inner00__aug02,20260704_230134_0i7e7o,user1,অ,train,0,0,138.0,2.0,0.905907,0.719454,0.651758,1.259159,0.056593,-0.11116,0.284636,0.23628,-0.027539,0.089419,0.304556,-0.276395,0.332095,-0.365814,4.825036,0.494072,0.102398,1.0,0.536232,0.0,0.014706,0.035219,0.063464,0.001458,0.71033,0.022926,0.010929,0.040452,0.030255,0.026103,0.001458,0.152405,0.022678,0.010895,0.04028,-0.000194,0.084833,-0.687939,0.630899,-7e-06,-0.012825,0.012389,0.92111,0.865067,0.001711,3.134547,0.59702,0.245942,1.346648,69.0,5.0,64.0,74.0,69.0,66.5,71.5,-0.002127,0.020482,-0.0722,0.053709,-0.000474,-0.011503,0.010183,-0.005089,0.033522,-0.134218,0.11004,-9.7e-05,-0.017963,0.008986,-0.067807,0.743289,-0.999998,0.99894,-0.024803,-0.839899,0.66658,0.002056,0.665522,-0.999994,1.0,-0.016414,-0.598164,0.612594,0.045017,0.574795,-0.998736,0.999976,0.010172,-0.327336,0.460636,0.499302,0.646747,-0.999975,1.0,0.839796,0.247759,0.978047,0.985507,0.11951,0.0,1.0,1.0,1.0,1.0,0.014493,0.11951,0.0,1.0,0.0,0.0,0.0
20260704_230134_0i7e7o__outer00__inner00__aug03,20260704_230134_0i7e7o__outer00__inner00__aug03,20260704_230134_0i7e7o,user1,অ,train,0,0,125.0,2.0,1.087101,0.863965,0.939217,1.25827,0.120784,-0.12637,0.333936,0.280115,0.027665,0.117527,0.404255,-0.335448,0.37659,-0.452975,5.584054,0.589072,0.105492,1.0,0.544,0.0,0.0,0.045033,0.079057,0.003447,0.85813,0.030394,0.01516,0.051417,0.038422,0.0297,0.003447,0.152908,0.03026,0.015134,0.050767,-0.000369,0.106451,-0.833561,0.788257,-0.001541,-0.014737,0.012829,0.838868,0.876425,0.007306,3.136953,0.494843,0.199059,1.105444,62.5,5.5,57.0,68.0,62.5,59.75,65.25,-0.002965,0.024582,-0.078783,0.053638,-0.002577,-0.018323,0.014147,-0.007,0.040725,-0.149176,0.101932,-0.002265,-0.022963,0.014238,-0.079663,0.74834,-0.999983,0.997971,-0.113808,-0.901701,0.672628,0.033126,0.657681,-0.999281,1.0,-0.101989,-0.485356,0.728637,0.013398,0.534261,-0.991368,0.996984,0.035809,-0.315027,0.370195,0.55043,0.641414,-0.999989,1.0,0.899307,0.459844,0.986896,0.984,0.125475,0.0,1.0,1.0,1.0,1.0,0.016,0.125475,0.0,1.0,0.0,0.0,0.0
20260704_230207_s0bru0__outer00__inner00__aug01,20260704_230207_s0bru0__outer00__inner00__aug01,20260704_230207_s0bru0,user1,অ,train,0,0,129.0,4.0,0.986542,0.725521,0.715757,1.35977,0.0368,0.010186,0.29744,0.215152,-0.03418,0.051848,0.048475,0.300976,0.082655,0.249128,4.551088,0.262482,0.057674,3.0,0.806202,1.0,0.008,0.035555,0.027325,0.001627,0.183668,0.029075,0.015359,0.048303,0.035605,0.027626,0.001627,0.183668,0.028616,0.015292,0.048327,-0.000429,0.029609,-0.099702,0.087852,-0.001248,-0.015987,0.016523,0.799576,0.77609,0.000551,3.120928,0.47816,0.241384,1.106858,32.25,41.817311,1.0,104.0,12.0,5.5,38.75,0.000481,0.032451,-0.067119,0.183449,0.0,-0.014637,0.011506,0.001357,0.030213,-0.109017,0.088207,0.005257,-0.010528,0.018778,0.135497,0.690564,-0.996964,0.99993,0.274331,-0.499147,0.817647,0.078217,0.706147,-0.999995,1.0,0.091973,-0.575719,0.864605,0.043255,0.545659,-0.997027,0.999461,0.0,-0.332215,0.456276,0.614727,0.567887,-0.999786,1.0,0.912817,0.53383,0.98124,0.968992,0.173339,0.0,1.0,1.0,1.0,1.0,0.031008,0.173339,0.0,1.0,0.0,0.0,0.0
20260704_230207_s0bru0__outer00__inner00__aug02,20260704_230207_s0bru0__outer00__inner00__aug02,20260704_230207_s0bru0,user1,অ,train,0,0,116.0,3.0,1.083663,0.591145,0.640602,1.833159,0.08207,-0.043023,0.310939,0.19004,0.036912,0.007938,0.166473,0.249772,0.129561,0.241834,4.319776,0.274353,0.063511,2.0,0.818966,0.0,0.0,0.037563,0.027499,0.002135,0.114992,0.028573,0.017019,0.054449,0.037587,0.027675,0.002135,0.114992,0.028573,0.01697,0.05475,-0.000543,0.026906,-0.08914,0.06739,0.000129,-0.012797,0.015189,0.579659,0.708912,0.003386,3.050752,0.314274,0.121156,0.655013,38.666667,40.002778,6.0,95.0,15.0,10.5,55.0,0.000781,0.034142,-0.084481,0.108956,0.002766,-0.014602,0.016282,0.001592,0.030879,-0.103687,0.098982,0.002587,-0.005678,0.015113,0.154908,0.654216,-0.995519,1.0,0.120914,-0.390811,0.878837,0.098165,0.733736,-1.0,1.0,0.221864,-0.663865,0.896902,0.078822,0.445096,-0.968586,0.999835,0.050474,-0.184701,0.372023,0.729303,0.513609,-0.995902,1.0,0.955727,0.797977,0.994666,0.974138,0.158724,0.0,1.0,1.0,1.0,1.0,0.025862,0.158724,0.0,1.0,0.0,0.0,0.0
20260704_230207_s0bru0__outer00__inner00__aug03,20260704_230207_s0bru0__outer00__inner00__aug03,20260704_230207_s0bru0,user1,অ,train,0,0,147.0,4.0,0.964518,0.551598,0.532026,1.748589,0.010244,0.045665,0.277492,0.16901,-0.033087,0.094168,0.072876,0.298862,0.105963,0.204694,4.297482,0.230495,0.053635,3.0,0.789116,1.0,0.0,0.029435,0.019948,0.002784,0.135738,0.024981,0.016611,0.038344,0.029478,0.020084,0.002784,0.135738,0.024778,0.01665,0.038246,-0.000254,0.022189,-0.081409,0.074874,-0.000188,-0.012583,0.011517,0.926948,0.85688,0.004021,3.117013,0.671797,0.244409,1.389581,36.75,46.305372,1.0,116.0,15.0,7.0,44.75,0.000507,0.027133,-0.064369,0.134704,0.000176,-0.013943,0.01224,0.000914,0.022371,-0.07875,0.059696,0.00206,-0.008648,0.015093,0.101324,0.672006,-0.998617,0.999987,0.104527,-0.448959,0.787227,0.040696,0.732451,-0.999999,1.0,0.077292,-0.714027,0.750049,0.067881,0.590211,-0.998441,0.999561,0.035318,-0.365025,0.565172,0.526273,0.608342,-0.999696,1.0,0.822866,0.312589,0.976441,0.972789,0.162697,0.0,1.0,1.0,1.0,1.0,0.027211,0.162697,0.0,1.0,0.0,0.0,0.0
20260704_230243_20ggrl__outer00__inner00__aug01,20260704_230243_20ggrl__outer00__inner00__aug01,20260704_230243_20ggrl,user1,অ,train,0,0,166.0,5.0,1.030435,0.69579,0.716966,1.480957,0.056351,-0.060129,0.302312,0.231731,-0.417816,-0.037054,0.508255,-0.192312,0.926071,-0.155258,6.108495,0.938995,0.15372,4.0,0.578313,1.0,0.0,0.037021,0.040993,0.002764,0.350204,0.027847,0.014609,0.04527,0.033313,0.026514,0.002764,0.148125,0.026544,0.013705,0.044199,-0.000241,0.04853,-0.321092,0.268652,-0.00043,-0.010607,0.009099,0.881755,0.866054,0.009201,3.129523,0.497836,0.235095,1.31058,33.2,39.229581,1.0,96.0,4.0,2.0,63.0,0.00291,0.026727,-0.083382,0.106595,0.002051,-0.009647,0.014916,-0.003049,0.032032,-0.111383,0.125919,0.001174,-0.018601,0.012114,0.002022,0.714871,-0.999955,0.998886,0.0983,-0.803731,0.705192,0.117716,0.689274,-0.999999,1.0,0.193337,-0.502534,0.781274,0.12507,0.51544,-0.999998,0.999104,0.085766,-0.230514,0.496076,0.559204,0.637157,-0.999927,1.0,0.893099,0.378095,0.98277,0.96988,0.170919,0.0,1.0,1.0,1.0,1.0,0.03012,0.170919,0.0,1.0,0.0,0.0,0.0
