sample_id,user_id,label,created_at,device,image_path,ink_density,ink_intensity_mean,ink_intensity_std,ink_intensity_sum,image_centroid_x,image_centroid_y,image_std_x,image_std_y,image_bbox_width,image_bbox_height,image_bbox_aspect,proj_x_00,proj_x_01,proj_x_02,proj_x_03,proj_x_04,proj_x_05,proj_x_06,proj_x_07,proj_x_08,proj_x_09,proj_x_10,proj_x_11,proj_x_12,proj_x_13,proj_x_14,proj_x_15,proj_y_00,proj_y_01,proj_y_02,proj_y_03,proj_y_04,proj_y_05,proj_y_06,proj_y_07,proj_y_08,proj_y_09,proj_y_10,proj_y_11,proj_y_12,proj_y_13,proj_y_14,proj_y_15,zone_0_0,zone_0_1,zone_0_2,zone_0_3,zone_0_4,zone_0_5,zone_0_6,zone_1_0,zone_1_1,zone_1_2,zone_1_3,zone_1_4,zone_1_5,zone_1_6,zone_2_0,zone_2_1,zone_2_2,zone_2_3,zone_2_4,zone_2_5,zone_2_6,zone_3_0,zone_3_1,zone_3_2,zone_3_3,zone_3_4,zone_3_5,zone_3_6,zone_4_0,zone_4_1,zone_4_2,zone_4_3,zone_4_4,zone_4_5,zone_4_6,zone_5_0,zone_5_1,zone_5_2,zone_5_3,zone_5_4,zone_5_5,zone_5_6,zone_6_0,zone_6_1,zone_6_2,zone_6_3,zone_6_4,zone_6_5,zone_6_6
20260711_220930_a944cy,for_bonhi,ঔ,2026-07-11T16:09:30.070Z,macOS Chrome desktop,output/for_bonhi/ঔ/ঔ_20260711_220930_a944cy.png,0.071907,0.063783,0.237852,3200.36084,0.502604,0.268108,0.121352,0.167136,0.491071,0.919643,0.533981,0.0,0.0,0.0,0.012197,0.064721,0.067834,0.190108,0.127313,0.196099,0.146851,0.142989,0.051888,0.0,0.0,0.0,0.0,0.061212,0.200796,0.08363,0.157455,0.157458,0.109695,0.029791,0.071427,0.115482,0.0,0.0,0.0,0.0,1e-05,0.013044,0.0,0.0,0.169363,0.319998,0.272162,0.210317,0.0,0.0,0.0,0.0,0.262956,0.310459,0.278845,0.022763,0.0,0.0,0.0,0.077099,0.245247,0.318019,0.0,0.0,0.0,0.0,0.150479,0.271588,0.17526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000655,0.040142,0.0,0.0,0.0
20260703_231939_jmltkn,user1,অ,2026-07-03T17:19:39.900Z,Linux Chrome desktop,output/user1/অ/অ_20260703_231939_jmltkn.png,0.048469,0.043261,0.198245,2170.643066,0.564091,0.267225,0.113885,0.079688,0.419643,0.294643,1.424242,0.0,0.0,0.0,0.0,0.0,0.044006,0.147351,0.122951,0.139686,0.222421,0.146249,0.177121,0.000215,0.0,0.0,0.0,0.0,0.0,0.170077,0.334586,0.168362,0.19115,0.135209,0.000616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9e-05,4e-06,0.0,0.0,0.0,0.0,0.30535,0.345814,0.441678,0.142689,0.0,0.0,0.0,0.061033,0.291778,0.39259,0.119765,0.0,0.0,0.0,0.0,0.018704,0.000345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260704_230134_0i7e7o,user1,অ,2026-07-04T17:01:34.908Z,Linux Chrome desktop,output/user1/অ/অ_20260704_230134_0i7e7o.png,0.043686,0.038598,0.187327,1936.694092,0.727483,0.427312,0.096478,0.082861,0.375,0.308036,1.217391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.071359,0.11768,0.128112,0.24578,0.168184,0.25116,0.017726,0.0,0.0,0.0,0.0,0.0,0.089052,0.233347,0.20823,0.222684,0.223156,0.023531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002757,0.0,0.011278,0.000295,0.0,0.0,0.0,0.177332,0.27549,0.409252,0.074686,0.0,0.0,0.0,0.002551,0.381399,0.548089,0.000348,0.0,0.0,0.0,0.0,0.005511,0.002313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260704_230207_s0bru0,user1,অ,2026-07-04T17:02:07.349Z,Linux Chrome desktop,output/user1/অ/অ_20260704_230207_s0bru0.png,0.053372,0.047535,0.207352,2385.11377,0.500001,0.285965,0.105847,0.075139,0.40625,0.272321,1.491803,0.0,0.0,0.0,0.0,0.028949,0.141979,0.107977,0.187098,0.249796,0.129019,0.155045,0.000136,0.0,0.0,0.0,0.0,0.0,0.0,0.095119,0.281318,0.205183,0.254924,0.163455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1e-05,0.0,0.0,0.0,0.0,0.0,8.8e-05,0.391253,0.564354,0.212925,0.0,0.0,0.0,0.0,0.223966,0.560118,0.376382,0.0,0.0,0.0,0.0,0.0,0.000115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260704_230243_20ggrl,user1,অ,2026-07-04T17:02:43.933Z,Linux Chrome desktop,output/user1/অ/অ_20260704_230243_20ggrl.png,0.057079,0.051078,0.214871,2562.874512,0.537837,0.306092,0.105773,0.08751,0.424107,0.321429,1.319444,0.0,0.0,0.0,0.0,0.0,0.098763,0.117657,0.142386,0.164982,0.22524,0.186018,0.064932,2.1e-05,0.0,0.0,0.0,0.0,0.0,0.026407,0.335519,0.229503,0.119989,0.182819,0.105762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.258245,0.469478,0.489782,0.073219,0.0,0.0,0.0,0.233935,0.183157,0.448698,0.0,0.0,0.0,0.0,0.01363,0.2517,0.080963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260704_230314_biogka,user1,অ,2026-07-04T17:03:14.419Z,Linux Chrome desktop,output/user1/অ/অ_20260704_230314_biogka.png,0.052376,0.046499,0.205018,2333.141113,0.501113,0.387164,0.12614,0.114571,0.4375,0.53125,0.823529,0.0,0.0,0.0,0.000269,0.135179,0.104982,0.059909,0.069061,0.203318,0.267985,0.159279,1.8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.000894,0.136368,0.204676,0.122474,0.15216,0.176112,0.187938,0.001412,0.004968,0.012998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14437,0.027267,0.265097,0.152811,0.0,0.0,0.0,0.034394,0.208414,0.09383,0.411451,0.0,0.0,0.0,0.0,0.210934,0.356193,0.33274,0.0,0.0,0.0,0.0,0.040878,0.0,2.3e-05,0.0,0.0,0.0,0.0,5.7e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260704_230343_z76un4,user1,অ,2026-07-04T17:03:43.455Z,Linux Chrome desktop,output/user1/অ/অ_20260704_230343_z76un4.png,0.069057,0.061307,0.233551,3076.152832,0.567549,0.330595,0.132073,0.112146,0.486607,0.446429,1.09,0.0,0.0,0.0,0.0,0.013752,0.081129,0.140977,0.092437,0.102696,0.158007,0.174709,0.202371,0.033922,0.0,0.0,0.0,0.0,0.0,0.023623,0.311569,0.194327,0.101104,0.132872,0.160286,0.062088,0.014131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9e-05,0.457855,0.326049,0.526026,0.053592,0.0,0.0,0.0,0.19547,0.10198,0.372894,0.200138,0.0,0.0,0.0,0.0,0.238549,0.215725,0.275019,0.0,0.0,0.0,0.0,0.040652,0.0,3.8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260704_230438_1by20a,user1,অ,2026-07-04T17:04:38.004Z,Linux Chrome desktop,output/user1/অ/অ_20260704_230438_1by20a.png,0.059411,0.052377,0.216798,2628.08252,0.579079,0.336613,0.116638,0.110303,0.424107,0.433036,0.979381,0.0,0.0,0.0,0.0,0.0,0.048136,0.110642,0.09649,0.191369,0.174261,0.123423,0.233983,0.021696,0.0,0.0,0.0,0.0,0.0,0.036564,0.272557,0.169943,0.116954,0.167196,0.150089,0.076516,0.010181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.159647,0.447989,0.424403,0.065916,0.0,0.0,0.0,0.210807,0.030706,0.432954,0.136949,0.0,0.0,0.0,0.010183,0.325885,0.139629,0.167459,0.0,0.0,0.0,0.0,0.013959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260704_230508_zz8agk,user1,অ,2026-07-04T17:05:08.436Z,Linux Chrome desktop,output/user1/অ/অ_20260704_230508_zz8agk.png,0.085619,0.075635,0.256957,3795.08252,0.49995,0.325714,0.154975,0.14206,0.553571,0.5,1.107143,0.0,0.0,0.006468,0.082966,0.052337,0.145277,0.061334,0.061313,0.160945,0.16443,0.171026,0.093905,0.0,0.0,0.0,0.0,0.0,0.005232,0.201462,0.198863,0.130514,0.071956,0.104109,0.12005,0.130912,0.036902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.098487,0.104852,0.000103,0.002432,0.0,0.0,0.0,0.291487,0.31852,0.506093,0.505254,3.4e-05,0.0,0.0,0.038097,0.204837,0.057701,0.445186,0.0001,0.0,0.0,0.0,0.2161,0.363591,0.474219,0.000138,0.0,0.0,0.0,4e-06,0.016,0.055503,0.007395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260704_230530_8783vw,user1,অ,2026-07-04T17:05:30.652Z,Linux Chrome desktop,output/user1/অ/অ_20260704_230530_8783vw.png,0.046337,0.040903,0.192877,2052.329346,0.449069,0.347223,0.108906,0.094137,0.433036,0.339286,1.276316,0.0,0.0,0.0,0.071721,0.100125,0.062661,0.13614,0.241403,0.272903,0.099181,0.015865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00389,0.190515,0.226553,0.154451,0.188106,0.214927,0.021558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034375,0.090265,0.356415,0.187492,0.0,0.0,0.0,0.220634,0.039476,0.549514,5e-05,0.0,0.0,0.0,0.01294,0.29141,0.220297,0.00136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
