baseline,outer_fold_id,label,support,precision,recall,f1
summary_features_with_train_augmentation,0,অ,0,0.0,0.0,0.0
summary_features_with_train_augmentation,0,আ,0,0.0,0.0,0.0
summary_features_with_train_augmentation,0,ই,0,0.0,0.0,0.0
summary_features_with_train_augmentation,0,ঈ,0,0.0,0.0,0.0
summary_features_with_train_augmentation,0,ঔ,1,0.0,0.0,0.0
summary_features_with_train_augmentation,1,অ,12,0.5,0.666667,0.571429
summary_features_with_train_augmentation,1,আ,10,0.75,0.9,0.818182
summary_features_with_train_augmentation,1,ই,10,0.666667,0.6,0.631579
summary_features_with_train_augmentation,1,ঈ,10,0.6,0.3,0.4
summary_features_with_train_augmentation,1,ঔ,0,0.0,0.0,0.0
summary_features_with_train_augmentation,2,অ,5,0.666667,0.4,0.5
summary_features_with_train_augmentation,2,আ,5,0.8,0.8,0.8
summary_features_with_train_augmentation,2,ই,5,0.6,0.6,0.6
summary_features_with_train_augmentation,2,ঈ,5,0.571429,0.8,0.666667
summary_features_with_train_augmentation,2,ঔ,0,0.0,0.0,0.0
summary_features_with_train_augmentation,3,অ,15,1.0,0.133333,0.235294
summary_features_with_train_augmentation,3,আ,5,0.75,0.6,0.666667
summary_features_with_train_augmentation,3,ই,0,0.0,0.0,0.0
summary_features_with_train_augmentation,3,ঈ,0,0.0,0.0,0.0
summary_features_with_train_augmentation,3,ঔ,0,0.0,0.0,0.0
summary_features_with_train_augmentation,4,অ,16,0.666667,0.25,0.363636
summary_features_with_train_augmentation,4,আ,16,0.571429,0.75,0.648649
summary_features_with_train_augmentation,4,ই,17,0.727273,0.470588,0.571429
summary_features_with_train_augmentation,4,ঈ,15,0.461538,0.8,0.585366
summary_features_with_train_augmentation,4,ঔ,0,0.0,0.0,0.0
