baseline,outer_fold_id,label,support,precision,recall,f1
trajectory_image_descriptors,0,অ,0,0.0,0.0,0.0
trajectory_image_descriptors,0,আ,0,0.0,0.0,0.0
trajectory_image_descriptors,0,ই,0,0.0,0.0,0.0
trajectory_image_descriptors,0,ঈ,0,0.0,0.0,0.0
trajectory_image_descriptors,0,ঔ,1,0.0,0.0,0.0
trajectory_image_descriptors,1,অ,12,0.625,0.416667,0.5
trajectory_image_descriptors,1,আ,10,0.4375,0.7,0.538462
trajectory_image_descriptors,1,ই,10,0.571429,0.4,0.470588
trajectory_image_descriptors,1,ঈ,10,0.454545,0.5,0.47619
trajectory_image_descriptors,1,ঔ,0,0.0,0.0,0.0
trajectory_image_descriptors,2,অ,5,0.666667,0.4,0.5
trajectory_image_descriptors,2,আ,5,0.571429,0.8,0.666667
trajectory_image_descriptors,2,ই,5,0.285714,0.4,0.333333
trajectory_image_descriptors,2,ঈ,5,0.0,0.0,0.0
trajectory_image_descriptors,2,ঔ,0,0.0,0.0,0.0
trajectory_image_descriptors,3,অ,15,0.705882,0.8,0.75
trajectory_image_descriptors,3,আ,5,0.0,0.0,0.0
trajectory_image_descriptors,3,ই,0,0.0,0.0,0.0
trajectory_image_descriptors,3,ঈ,0,0.0,0.0,0.0
trajectory_image_descriptors,3,ঔ,0,0.0,0.0,0.0
trajectory_image_descriptors,4,অ,16,0.7,0.875,0.777778
trajectory_image_descriptors,4,আ,16,0.9,0.5625,0.692308
trajectory_image_descriptors,4,ই,17,0.733333,0.647059,0.6875
trajectory_image_descriptors,4,ঈ,15,0.611111,0.733333,0.666667
trajectory_image_descriptors,4,ঔ,0,0.0,0.0,0.0
