baseline,outer_fold_id,label,support,precision,recall,f1
skeleton_landmark_summary,0,অ,0,0.0,0.0,0.0
skeleton_landmark_summary,0,আ,0,0.0,0.0,0.0
skeleton_landmark_summary,0,ই,0,0.0,0.0,0.0
skeleton_landmark_summary,0,ঈ,0,0.0,0.0,0.0
skeleton_landmark_summary,0,ঔ,1,0.0,0.0,0.0
skeleton_landmark_summary,1,অ,12,0.368421,0.583333,0.451613
skeleton_landmark_summary,1,আ,10,0.428571,0.3,0.352941
skeleton_landmark_summary,1,ই,10,0.4,0.4,0.4
skeleton_landmark_summary,1,ঈ,10,0.0,0.0,0.0
skeleton_landmark_summary,1,ঔ,0,0.0,0.0,0.0
skeleton_landmark_summary,2,অ,5,0.285714,0.4,0.333333
skeleton_landmark_summary,2,আ,5,0.428571,0.6,0.5
skeleton_landmark_summary,2,ই,5,0.0,0.0,0.0
skeleton_landmark_summary,2,ঈ,5,0.0,0.0,0.0
skeleton_landmark_summary,2,ঔ,0,0.0,0.0,0.0
skeleton_landmark_summary,3,অ,15,1.0,0.466667,0.636364
skeleton_landmark_summary,3,আ,5,0.571429,0.8,0.666667
skeleton_landmark_summary,3,ই,0,0.0,0.0,0.0
skeleton_landmark_summary,3,ঈ,0,0.0,0.0,0.0
skeleton_landmark_summary,3,ঔ,0,0.0,0.0,0.0
skeleton_landmark_summary,4,অ,16,0.255319,0.75,0.380952
skeleton_landmark_summary,4,আ,16,0.5,0.125,0.2
skeleton_landmark_summary,4,ই,17,0.0,0.0,0.0
skeleton_landmark_summary,4,ঈ,15,0.5,0.266667,0.347826
skeleton_landmark_summary,4,ঔ,0,0.0,0.0,0.0
