sample_id,user_id,label,video_path,video_exists,skeleton_status
20260711_220930_a944cy,for_bonhi,ঔ,output/for_bonhi/ঔ/ঔ_20260711_220930_a944cy.mp4,True,ready
20260703_231939_jmltkn,user1,অ,output/user1/অ/অ_20260703_231939_jmltkn.mp4,True,ready
20260704_230134_0i7e7o,user1,অ,output/user1/অ/অ_20260704_230134_0i7e7o.mp4,True,ready
20260704_230207_s0bru0,user1,অ,output/user1/অ/অ_20260704_230207_s0bru0.mp4,True,ready
20260704_230243_20ggrl,user1,অ,output/user1/অ/অ_20260704_230243_20ggrl.mp4,True,ready
20260704_230314_biogka,user1,অ,output/user1/অ/অ_20260704_230314_biogka.mp4,True,ready
20260704_230343_z76un4,user1,অ,output/user1/অ/অ_20260704_230343_z76un4.mp4,True,ready
20260704_230438_1by20a,user1,অ,output/user1/অ/অ_20260704_230438_1by20a.mp4,True,ready
20260704_230508_zz8agk,user1,অ,output/user1/অ/অ_20260704_230508_zz8agk.mp4,True,ready
20260704_230530_8783vw,user1,অ,output/user1/অ/অ_20260704_230530_8783vw.mp4,True,ready
20260704_230601_9fuwl5,user1,অ,output/user1/অ/অ_20260704_230601_9fuwl5.mp4,True,ready
20260704_230631_iep9zz,user1,অ,output/user1/অ/অ_20260704_230631_iep9zz.mp4,True,ready
20260709_222041_giojuy,user1,অ,output/user1/অ/অ_20260709_222041_giojuy.mp4,True,ready
20260704_230720_4nlmlz,user1,আ,output/user1/আ/আ_20260704_230720_4nlmlz.mp4,True,ready
20260704_230748_cofjqd,user1,আ,output/user1/আ/আ_20260704_230748_cofjqd.mp4,True,ready
20260704_230823_p4djtm,user1,আ,output/user1/আ/আ_20260704_230823_p4djtm.mp4,True,ready
20260704_230900_jm6b9y,user1,আ,output/user1/আ/আ_20260704_230900_jm6b9y.mp4,True,ready
20260704_230941_ogdcp4,user1,আ,output/user1/আ/আ_20260704_230941_ogdcp4.mp4,True,ready
20260704_231010_4ha6y7,user1,আ,output/user1/আ/আ_20260704_231010_4ha6y7.mp4,True,ready
20260728_232136_0wkg0v,user1,আ,output/user1/আ/আ_20260728_232136_0wkg0v.mp4,True,ready
20260728_232203_7c77zv,user1,আ,output/user1/আ/আ_20260728_232203_7c77zv.mp4,True,ready
20260728_232238_kgwkds,user1,আ,output/user1/আ/আ_20260728_232238_kgwkds.mp4,True,ready
20260728_232316_s2ep8l,user1,আ,output/user1/আ/আ_20260728_232316_s2ep8l.mp4,True,ready
20260705_210750_hp0ub6,user1,ই,output/user1/ই/ই_20260705_210750_hp0ub6.mp4,True,ready
20260705_210817_cpe63z,user1,ই,output/user1/ই/ই_20260705_210817_cpe63z.mp4,True,ready
20260705_210847_8d63gb,user1,ই,output/user1/ই/ই_20260705_210847_8d63gb.mp4,True,ready
20260705_210914_6z0wyv,user1,ই,output/user1/ই/ই_20260705_210914_6z0wyv.mp4,True,ready
20260705_211104_cee4mp,user1,ই,output/user1/ই/ই_20260705_211104_cee4mp.mp4,True,ready
20260705_211129_q9xd7j,user1,ই,output/user1/ই/ই_20260705_211129_q9xd7j.mp4,True,ready
20260705_211202_fwdefr,user1,ই,output/user1/ই/ই_20260705_211202_fwdefr.mp4,True,ready
20260705_211229_nco6f5,user1,ই,output/user1/ই/ই_20260705_211229_nco6f5.mp4,True,ready
20260705_211257_5zxk15,user1,ই,output/user1/ই/ই_20260705_211257_5zxk15.mp4,True,ready
20260705_211324_69n6hy,user1,ই,output/user1/ই/ই_20260705_211324_69n6hy.mp4,True,ready
20260705_213721_6edrqn,user1,ঈ,output/user1/ঈ/ঈ_20260705_213721_6edrqn.mp4,True,ready
20260705_213804_scynf9,user1,ঈ,output/user1/ঈ/ঈ_20260705_213804_scynf9.mp4,True,ready
20260705_213852_tuebtl,user1,ঈ,output/user1/ঈ/ঈ_20260705_213852_tuebtl.mp4,True,ready
20260705_213943_7qqvt7,user1,ঈ,output/user1/ঈ/ঈ_20260705_213943_7qqvt7.mp4,True,ready
20260705_214029_z7ddbl,user1,ঈ,output/user1/ঈ/ঈ_20260705_214029_z7ddbl.mp4,True,ready
