baseline,bin_index,confidence_low,confidence_high,count,accuracy,avg_confidence,calibration_gap
Summary Features,0,0.0,0.1,0,nan,nan,nan
Summary Features,1,0.1,0.2,0,nan,nan,nan
Summary Features,2,0.2,0.3,52,0.576923,0.268624,0.308299
Summary Features,3,0.3,0.4,57,0.596491,0.335323,0.261168
Summary Features,4,0.4,0.5,24,0.458333,0.435505,0.022829
Summary Features,5,0.5,0.6,8,0.5,0.540338,0.040338
Summary Features,6,0.6,0.7,3,0.333333,0.626853,0.29352
Summary Features,7,0.7,0.8,2,0.0,0.76949,0.76949
Summary Features,8,0.8,0.9,1,0.0,0.840386,0.840386
Summary Features,9,0.9,1.0,0,nan,nan,nan
Sequence 128 Flattened,0,0.0,0.1,0,nan,nan,nan
Sequence 128 Flattened,1,0.1,0.2,0,nan,nan,nan
Sequence 128 Flattened,2,0.2,0.3,0,nan,nan,nan
Sequence 128 Flattened,3,0.3,0.4,9,0.333333,0.369693,0.036359
Sequence 128 Flattened,4,0.4,0.5,8,0.375,0.466787,0.091787
Sequence 128 Flattened,5,0.5,0.6,25,0.36,0.549661,0.189661
Sequence 128 Flattened,6,0.6,0.7,26,0.5,0.646165,0.146165
Sequence 128 Flattened,7,0.7,0.8,24,0.583333,0.747869,0.164535
Sequence 128 Flattened,8,0.8,0.9,27,0.703704,0.849558,0.145855
Sequence 128 Flattened,9,0.9,1.0,28,0.75,0.953716,0.203716
Image Descriptors,0,0.0,0.1,0,nan,nan,nan
Image Descriptors,1,0.1,0.2,0,nan,nan,nan
Image Descriptors,2,0.2,0.3,17,0.176471,0.267216,0.090746
Image Descriptors,3,0.3,0.4,22,0.772727,0.341797,0.43093
Image Descriptors,4,0.4,0.5,6,0.5,0.429802,0.070198
Image Descriptors,5,0.5,0.6,4,0.5,0.573716,0.073716
Image Descriptors,6,0.6,0.7,13,0.461538,0.648206,0.186667
Image Descriptors,7,0.7,0.8,3,0.333333,0.746039,0.412705
Image Descriptors,8,0.8,0.9,7,0.428571,0.817913,0.389342
Image Descriptors,9,0.9,1.0,75,0.68,1.0,0.32
Skeleton Landmarks,0,0.0,0.1,0,nan,nan,nan
Skeleton Landmarks,1,0.1,0.2,0,nan,nan,nan
Skeleton Landmarks,2,0.2,0.3,6,0.333333,0.256268,0.077066
Skeleton Landmarks,3,0.3,0.4,15,0.2,0.352625,0.152625
Skeleton Landmarks,4,0.4,0.5,18,0.333333,0.419544,0.08621
Skeleton Landmarks,5,0.5,0.6,8,0.5,0.590326,0.090326
Skeleton Landmarks,6,0.6,0.7,10,0.2,0.621407,0.421407
Skeleton Landmarks,7,0.7,0.8,4,0.5,0.772035,0.272035
Skeleton Landmarks,8,0.8,0.9,2,0.0,0.805214,0.805214
Skeleton Landmarks,9,0.9,1.0,84,0.345238,0.998963,0.653725
