baseline,label,positive_support,negative_support,roc_auc
Summary Features,অ,48,99,0.6633
Summary Features,আ,36,111,0.897147
Summary Features,ই,32,115,0.655707
Summary Features,ঈ,30,117,0.812251
Summary Features,ঔ,1,146,0.0
Sequence 128 Flattened,অ,48,99,0.787037
Sequence 128 Flattened,আ,36,111,0.869119
Sequence 128 Flattened,ই,32,115,0.783967
Sequence 128 Flattened,ঈ,30,117,0.785185
Sequence 128 Flattened,ঔ,1,146,0.082192
Image Descriptors,অ,48,99,0.859638
Image Descriptors,আ,36,111,0.777903
Image Descriptors,ই,32,115,0.741848
Image Descriptors,ঈ,30,117,0.727493
Image Descriptors,ঔ,1,146,0.356164
Skeleton Landmarks,অ,48,99,0.527567
Skeleton Landmarks,আ,36,111,0.588338
Skeleton Landmarks,ই,32,115,0.47663
Skeleton Landmarks,ঈ,30,117,0.603419
Skeleton Landmarks,ঔ,1,146,0.431507
