baseline,outer_fold_id,label,support,precision,recall,f1
sequence_256_flattened,0,অ,12,0.473684,0.75,0.580645
sequence_256_flattened,0,আ,10,0.714286,0.5,0.588235
sequence_256_flattened,0,ই,10,0.416667,0.5,0.454545
sequence_256_flattened,0,ঈ,10,0.25,0.1,0.142857
sequence_256_flattened,1,অ,11,0.333333,0.545455,0.413793
sequence_256_flattened,1,আ,10,0.545455,0.6,0.571429
sequence_256_flattened,1,ই,10,0.5,0.5,0.5
sequence_256_flattened,1,ঈ,11,0.666667,0.181818,0.285714
sequence_256_flattened,2,অ,15,1.0,0.333333,0.5
sequence_256_flattened,2,আ,5,0.555556,1.0,0.714286
sequence_256_flattened,2,ই,0,0.0,0.0,0.0
sequence_256_flattened,2,ঈ,0,0.0,0.0,0.0
sequence_256_flattened,3,অ,16,0.7,0.4375,0.538462
sequence_256_flattened,3,আ,16,0.5,0.375,0.428571
sequence_256_flattened,3,ই,17,0.454545,0.294118,0.357143
sequence_256_flattened,3,ঈ,15,0.451613,0.933333,0.608696
sequence_256_flattened,4,অ,1,0.0,0.0,0.0
sequence_256_flattened,4,আ,1,0.5,1.0,0.666667
sequence_256_flattened,4,ই,1,1.0,1.0,1.0
sequence_256_flattened,4,ঈ,1,1.0,1.0,1.0
