sample_id,user_id,label,points_checked,mismatches_above_1e-4,mismatch_rate,max_abs_diff
20260703_231939_jmltkn,user1,অ,102,32,0.313725,0.000765
20260704_230134_0i7e7o,user1,অ,143,60,0.41958,0.001369
20260704_230207_s0bru0,user1,অ,131,45,0.343511,0.001271
20260704_230243_20ggrl,user1,অ,218,81,0.37156,0.002571
20260704_230314_biogka,user1,অ,169,75,0.443787,0.001817
20260704_230343_z76un4,user1,অ,219,82,0.374429,0.001841
20260704_230438_1by20a,user1,অ,173,61,0.352601,0.001025
20260704_230508_zz8agk,user1,অ,206,64,0.31068,0.001794
20260704_230530_8783vw,user1,অ,167,64,0.383234,0.001602
20260704_230601_9fuwl5,user1,অ,183,74,0.404372,0.002843
20260704_230631_iep9zz,user1,অ,186,66,0.354839,0.000765
20260709_222041_giojuy,user1,অ,163,41,0.251534,0.000852
20260704_230720_4nlmlz,user1,আ,223,65,0.29148,0.001753
20260704_230748_cofjqd,user1,আ,197,83,0.42132,0.001965
20260704_230823_p4djtm,user1,আ,264,74,0.280303,0.001623
20260704_230900_jm6b9y,user1,আ,299,104,0.347826,0.002338
20260704_230941_ogdcp4,user1,আ,277,101,0.364621,0.003142
20260704_231010_4ha6y7,user1,আ,266,114,0.428571,0.004302
20260728_232136_0wkg0v,user1,আ,215,63,0.293023,0.004867
20260728_232203_7c77zv,user1,আ,236,59,0.25,0.000984
20260728_232238_kgwkds,user1,আ,334,132,0.39521,0.001479
20260728_232316_s2ep8l,user1,আ,281,91,0.323843,0.001035
20260705_210750_hp0ub6,user1,ই,189,57,0.301587,0.000717
20260705_210817_cpe63z,user1,ই,245,73,0.297959,0.001171
20260705_210847_8d63gb,user1,ই,230,88,0.382609,0.001197
20260705_210914_6z0wyv,user1,ই,171,58,0.339181,0.001244
20260705_211104_cee4mp,user1,ই,222,62,0.279279,0.001657
20260705_211129_q9xd7j,user1,ই,158,68,0.43038,0.001252
20260705_211202_fwdefr,user1,ই,238,86,0.361345,0.001348
20260705_211229_nco6f5,user1,ই,192,48,0.25,0.003421
20260705_211257_5zxk15,user1,ই,193,81,0.419689,0.004558
20260705_211324_69n6hy,user1,ই,240,83,0.345833,0.000757
20260705_213721_6edrqn,user1,ঈ,224,71,0.316964,0.001732
20260705_213804_scynf9,user1,ঈ,215,81,0.376744,0.000967
20260705_213852_tuebtl,user1,ঈ,289,134,0.463668,0.002676
20260705_213943_7qqvt7,user1,ঈ,200,88,0.44,0.001112
20260705_214029_z7ddbl,user1,ঈ,344,140,0.406977,0.001096
20260705_214107_b894ld,user1,ঈ,238,79,0.331933,0.000969
20260705_215457_yruoxw,user1,ঈ,246,74,0.300813,0.002572
20260705_215539_dr61qv,user1,ঈ,236,62,0.262712,0.001896
20260705_215654_07cd7w,user1,ঈ,249,95,0.381526,0.001174
20260705_215745_i5n9h7,user1,ঈ,322,146,0.453416,0.009383
20260704_232121_lcxi4y,user2,অ,1033,969,0.938045,0.246965
20260704_232412_nr23lb,user2,অ,245,131,0.534694,0.024474
20260705_165947_rrdvxz,user2,অ,57,0,0.0,6.9e-05
20260705_170029_180ejw,user2,অ,72,6,0.083333,0.000508
20260705_170128_b1n6nu,user2,অ,68,2,0.029412,0.000175
20260705_170207_eb9cjm,user2,অ,73,6,0.082192,0.00017
20260705_170248_sf7fcw,user2,অ,64,1,0.015625,0.000105
20260728_232630_znnts0,user2,অ,187,61,0.326203,0.001187
20260728_232652_hdsmyh,user2,অ,180,68,0.377778,0.000595
20260728_232714_hincfq,user2,অ,141,42,0.297872,0.001582
20260728_232741_j1gvgu,user2,অ,207,102,0.492754,0.002757
20260704_232148_mqf5ea,user2,আ,1137,1077,0.94723,0.080631
20260705_170410_psx32h,user2,আ,90,4,0.044444,0.000244
20260705_170459_x9acwr,user2,আ,96,6,0.0625,0.000178
20260705_170542_0shybi,user2,আ,83,2,0.024096,0.000278
20260705_170622_0o9xio,user2,আ,95,5,0.052632,0.00019
20260705_170735_cbvyrc,user2,আ,126,0,0.0,7.9e-05
20260728_232436_9i4gi8,user2,আ,256,115,0.449219,0.003164
20260728_232459_m6l3cf,user2,আ,161,67,0.416149,0.00101
