sample_id,user_id,label,accepted,json_path,image_path,video_path,created_at,raw_points
20260703_231939_jmltkn,user1,অ,True,output/user1/অ/অ_20260703_231939_jmltkn.json,output/user1/অ/অ_20260703_231939_jmltkn.png,output/user1/অ/অ_20260703_231939_jmltkn.mp4,2026-07-03T17:19:39.900Z,102
20260704_230134_0i7e7o,user1,অ,True,output/user1/অ/অ_20260704_230134_0i7e7o.json,output/user1/অ/অ_20260704_230134_0i7e7o.png,output/user1/অ/অ_20260704_230134_0i7e7o.mp4,2026-07-04T17:01:34.908Z,143
20260704_230207_s0bru0,user1,অ,True,output/user1/অ/অ_20260704_230207_s0bru0.json,output/user1/অ/অ_20260704_230207_s0bru0.png,output/user1/অ/অ_20260704_230207_s0bru0.mp4,2026-07-04T17:02:07.349Z,131
20260704_230243_20ggrl,user1,অ,True,output/user1/অ/অ_20260704_230243_20ggrl.json,output/user1/অ/অ_20260704_230243_20ggrl.png,output/user1/অ/অ_20260704_230243_20ggrl.mp4,2026-07-04T17:02:43.933Z,218
20260704_230314_biogka,user1,অ,True,output/user1/অ/অ_20260704_230314_biogka.json,output/user1/অ/অ_20260704_230314_biogka.png,output/user1/অ/অ_20260704_230314_biogka.mp4,2026-07-04T17:03:14.419Z,169
20260704_230343_z76un4,user1,অ,True,output/user1/অ/অ_20260704_230343_z76un4.json,output/user1/অ/অ_20260704_230343_z76un4.png,output/user1/অ/অ_20260704_230343_z76un4.mp4,2026-07-04T17:03:43.455Z,219
20260704_230438_1by20a,user1,অ,True,output/user1/অ/অ_20260704_230438_1by20a.json,output/user1/অ/অ_20260704_230438_1by20a.png,output/user1/অ/অ_20260704_230438_1by20a.mp4,2026-07-04T17:04:38.004Z,173
20260704_230508_zz8agk,user1,অ,True,output/user1/অ/অ_20260704_230508_zz8agk.json,output/user1/অ/অ_20260704_230508_zz8agk.png,output/user1/অ/অ_20260704_230508_zz8agk.mp4,2026-07-04T17:05:08.436Z,206
20260704_230530_8783vw,user1,অ,True,output/user1/অ/অ_20260704_230530_8783vw.json,output/user1/অ/অ_20260704_230530_8783vw.png,output/user1/অ/অ_20260704_230530_8783vw.mp4,2026-07-04T17:05:30.652Z,167
20260704_230601_9fuwl5,user1,অ,True,output/user1/অ/অ_20260704_230601_9fuwl5.json,output/user1/অ/অ_20260704_230601_9fuwl5.png,output/user1/অ/অ_20260704_230601_9fuwl5.mp4,2026-07-04T17:06:01.169Z,183
20260704_230631_iep9zz,user1,অ,True,output/user1/অ/অ_20260704_230631_iep9zz.json,output/user1/অ/অ_20260704_230631_iep9zz.png,output/user1/অ/অ_20260704_230631_iep9zz.mp4,2026-07-04T17:06:31.754Z,186
20260709_222041_giojuy,user1,অ,True,output/user1/অ/অ_20260709_222041_giojuy.json,output/user1/অ/অ_20260709_222041_giojuy.png,output/user1/অ/অ_20260709_222041_giojuy.mp4,2026-07-09T16:20:41.439Z,163
20260704_230720_4nlmlz,user1,আ,True,output/user1/আ/আ_20260704_230720_4nlmlz.json,output/user1/আ/আ_20260704_230720_4nlmlz.png,output/user1/আ/আ_20260704_230720_4nlmlz.mp4,2026-07-04T17:07:20.785Z,223
20260704_230748_cofjqd,user1,আ,True,output/user1/আ/আ_20260704_230748_cofjqd.json,output/user1/আ/আ_20260704_230748_cofjqd.png,output/user1/আ/আ_20260704_230748_cofjqd.mp4,2026-07-04T17:07:48.960Z,197
20260704_230823_p4djtm,user1,আ,True,output/user1/আ/আ_20260704_230823_p4djtm.json,output/user1/আ/আ_20260704_230823_p4djtm.png,output/user1/আ/আ_20260704_230823_p4djtm.mp4,2026-07-04T17:08:23.458Z,264
20260704_230900_jm6b9y,user1,আ,True,output/user1/আ/আ_20260704_230900_jm6b9y.json,output/user1/আ/আ_20260704_230900_jm6b9y.png,output/user1/আ/আ_20260704_230900_jm6b9y.mp4,2026-07-04T17:09:00.548Z,299
20260704_230941_ogdcp4,user1,আ,True,output/user1/আ/আ_20260704_230941_ogdcp4.json,output/user1/আ/আ_20260704_230941_ogdcp4.png,output/user1/আ/আ_20260704_230941_ogdcp4.mp4,2026-07-04T17:09:41.134Z,277
20260704_231010_4ha6y7,user1,আ,True,output/user1/আ/আ_20260704_231010_4ha6y7.json,output/user1/আ/আ_20260704_231010_4ha6y7.png,output/user1/আ/আ_20260704_231010_4ha6y7.mp4,2026-07-04T17:10:10.093Z,266
20260728_232136_0wkg0v,user1,আ,True,output/user1/আ/আ_20260728_232136_0wkg0v.json,output/user1/আ/আ_20260728_232136_0wkg0v.png,output/user1/আ/আ_20260728_232136_0wkg0v.mp4,2026-07-28T17:21:36.892Z,215
20260728_232203_7c77zv,user1,আ,True,output/user1/আ/আ_20260728_232203_7c77zv.json,output/user1/আ/আ_20260728_232203_7c77zv.png,output/user1/আ/আ_20260728_232203_7c77zv.mp4,2026-07-28T17:22:03.534Z,236
20260728_232238_kgwkds,user1,আ,True,output/user1/আ/আ_20260728_232238_kgwkds.json,output/user1/আ/আ_20260728_232238_kgwkds.png,output/user1/আ/আ_20260728_232238_kgwkds.mp4,2026-07-28T17:22:38.909Z,334
20260728_232316_s2ep8l,user1,আ,True,output/user1/আ/আ_20260728_232316_s2ep8l.json,output/user1/আ/আ_20260728_232316_s2ep8l.png,output/user1/আ/আ_20260728_232316_s2ep8l.mp4,2026-07-28T17:23:16.011Z,281
20260705_210750_hp0ub6,user1,ই,True,output/user1/ই/ই_20260705_210750_hp0ub6.json,output/user1/ই/ই_20260705_210750_hp0ub6.png,output/user1/ই/ই_20260705_210750_hp0ub6.mp4,2026-07-05T15:07:50.100Z,189
20260705_210817_cpe63z,user1,ই,True,output/user1/ই/ই_20260705_210817_cpe63z.json,output/user1/ই/ই_20260705_210817_cpe63z.png,output/user1/ই/ই_20260705_210817_cpe63z.mp4,2026-07-05T15:08:17.145Z,245
20260705_210847_8d63gb,user1,ই,True,output/user1/ই/ই_20260705_210847_8d63gb.json,output/user1/ই/ই_20260705_210847_8d63gb.png,output/user1/ই/ই_20260705_210847_8d63gb.mp4,2026-07-05T15:08:47.954Z,230
20260705_210914_6z0wyv,user1,ই,True,output/user1/ই/ই_20260705_210914_6z0wyv.json,output/user1/ই/ই_20260705_210914_6z0wyv.png,output/user1/ই/ই_20260705_210914_6z0wyv.mp4,2026-07-05T15:09:14.890Z,171
20260705_211104_cee4mp,user1,ই,True,output/user1/ই/ই_20260705_211104_cee4mp.json,output/user1/ই/ই_20260705_211104_cee4mp.png,output/user1/ই/ই_20260705_211104_cee4mp.mp4,2026-07-05T15:11:04.637Z,222
20260705_211129_q9xd7j,user1,ই,True,output/user1/ই/ই_20260705_211129_q9xd7j.json,output/user1/ই/ই_20260705_211129_q9xd7j.png,output/user1/ই/ই_20260705_211129_q9xd7j.mp4,2026-07-05T15:11:29.635Z,158
20260705_211202_fwdefr,user1,ই,True,output/user1/ই/ই_20260705_211202_fwdefr.json,output/user1/ই/ই_20260705_211202_fwdefr.png,output/user1/ই/ই_20260705_211202_fwdefr.mp4,2026-07-05T15:12:02.571Z,238
20260705_211229_nco6f5,user1,ই,True,output/user1/ই/ই_20260705_211229_nco6f5.json,output/user1/ই/ই_20260705_211229_nco6f5.png,output/user1/ই/ই_20260705_211229_nco6f5.mp4,2026-07-05T15:12:29.901Z,192
20260705_211257_5zxk15,user1,ই,True,output/user1/ই/ই_20260705_211257_5zxk15.json,output/user1/ই/ই_20260705_211257_5zxk15.png,output/user1/ই/ই_20260705_211257_5zxk15.mp4,2026-07-05T15:12:57.301Z,193
20260705_211324_69n6hy,user1,ই,True,output/user1/ই/ই_20260705_211324_69n6hy.json,output/user1/ই/ই_20260705_211324_69n6hy.png,output/user1/ই/ই_20260705_211324_69n6hy.mp4,2026-07-05T15:13:24.464Z,240
20260705_213721_6edrqn,user1,ঈ,True,output/user1/ঈ/ঈ_20260705_213721_6edrqn.json,output/user1/ঈ/ঈ_20260705_213721_6edrqn.png,output/user1/ঈ/ঈ_20260705_213721_6edrqn.mp4,2026-07-05T15:37:21.634Z,224
20260705_213804_scynf9,user1,ঈ,True,output/user1/ঈ/ঈ_20260705_213804_scynf9.json,output/user1/ঈ/ঈ_20260705_213804_scynf9.png,output/user1/ঈ/ঈ_20260705_213804_scynf9.mp4,2026-07-05T15:38:04.513Z,215
20260705_213852_tuebtl,user1,ঈ,True,output/user1/ঈ/ঈ_20260705_213852_tuebtl.json,output/user1/ঈ/ঈ_20260705_213852_tuebtl.png,output/user1/ঈ/ঈ_20260705_213852_tuebtl.mp4,2026-07-05T15:38:52.607Z,289
20260705_213943_7qqvt7,user1,ঈ,True,output/user1/ঈ/ঈ_20260705_213943_7qqvt7.json,output/user1/ঈ/ঈ_20260705_213943_7qqvt7.png,output/user1/ঈ/ঈ_20260705_213943_7qqvt7.mp4,2026-07-05T15:39:43.527Z,200
20260705_214029_z7ddbl,user1,ঈ,True,output/user1/ঈ/ঈ_20260705_214029_z7ddbl.json,output/user1/ঈ/ঈ_20260705_214029_z7ddbl.png,output/user1/ঈ/ঈ_20260705_214029_z7ddbl.mp4,2026-07-05T15:40:29.331Z,344
20260705_214107_b894ld,user1,ঈ,True,output/user1/ঈ/ঈ_20260705_214107_b894ld.json,output/user1/ঈ/ঈ_20260705_214107_b894ld.png,output/user1/ঈ/ঈ_20260705_214107_b894ld.mp4,2026-07-05T15:41:07.880Z,238
