sample_id,user_id,label,json_path,warning
20260704_232412_nr23lb,user2,অ,output/user2/অ/অ_20260704_232412_nr23lb.json,missing_png
20260705_165947_rrdvxz,user2,অ,output/user2/অ/অ_20260705_165947_rrdvxz.json,missing_png
20260705_170029_180ejw,user2,অ,output/user2/অ/অ_20260705_170029_180ejw.json,missing_png
20260705_170128_b1n6nu,user2,অ,output/user2/অ/অ_20260705_170128_b1n6nu.json,missing_png
20260705_170207_eb9cjm,user2,অ,output/user2/অ/অ_20260705_170207_eb9cjm.json,missing_png
20260705_170248_sf7fcw,user2,অ,output/user2/অ/অ_20260705_170248_sf7fcw.json,missing_png
20260705_170410_psx32h,user2,আ,output/user2/আ/আ_20260705_170410_psx32h.json,missing_png
20260705_170459_x9acwr,user2,আ,output/user2/আ/আ_20260705_170459_x9acwr.json,missing_png
20260705_170542_0shybi,user2,আ,output/user2/আ/আ_20260705_170542_0shybi.json,missing_png
20260705_170622_0o9xio,user2,আ,output/user2/আ/আ_20260705_170622_0o9xio.json,missing_png
20260705_170735_cbvyrc,user2,আ,output/user2/আ/আ_20260705_170735_cbvyrc.json,missing_png
20260705_170839_hkwvju,user2,ই,output/user2/ই/ই_20260705_170839_hkwvju.json,missing_png
20260705_170951_aziiah,user2,ই,output/user2/ই/ই_20260705_170951_aziiah.json,missing_png
20260705_171029_5ftejq,user2,ই,output/user2/ই/ই_20260705_171029_5ftejq.json,missing_png
20260705_171118_evwpn3,user2,ই,output/user2/ই/ই_20260705_171118_evwpn3.json,missing_png
20260705_171155_wvydfy,user2,ই,output/user2/ই/ই_20260705_171155_wvydfy.json,missing_png
20260705_171259_dluym7,user2,ঈ,output/user2/ঈ/ঈ_20260705_171259_dluym7.json,missing_png
20260705_171351_vkunfn,user2,ঈ,output/user2/ঈ/ঈ_20260705_171351_vkunfn.json,missing_png
20260705_171438_jgev7f,user2,ঈ,output/user2/ঈ/ঈ_20260705_171438_jgev7f.json,missing_png
20260705_171525_i5t1b0,user2,ঈ,output/user2/ঈ/ঈ_20260705_171525_i5t1b0.json,missing_png
20260705_171647_x9r778,user2,ঈ,output/user2/ঈ/ঈ_20260705_171647_x9r778.json,missing_png
20260725_213216_j99456,user2,ঈ,output/user2/ঈ/ঈ_20260725_213216_j99456.json,missing_png
20260711_212007_ir5oy0,user5,অ,output/user5/অ/অ_20260711_212007_ir5oy0.json,missing_png
20260711_212041_5epna1,user5,আ,output/user5/আ/আ_20260711_212041_5epna1.json,missing_png
20260711_212113_u1rqpt,user5,ই,output/user5/ই/ই_20260711_212113_u1rqpt.json,missing_png
20260711_212139_uwdx5l,user5,ঈ,output/user5/ঈ/ঈ_20260711_212139_uwdx5l.json,missing_png
