sample_id,user_id,label,raw_strokes,debounced_strokes,merges,k,duplicate_points_dropped
20260703_231939_jmltkn,user1,অ,1,1,0,3,0
20260704_230134_0i7e7o,user1,অ,2,2,0,3,0
20260704_230207_s0bru0,user1,অ,4,3,1,3,0
20260704_230243_20ggrl,user1,অ,5,3,2,3,0
20260704_230314_biogka,user1,অ,3,2,1,3,0
20260704_230343_z76un4,user1,অ,4,2,2,3,0
20260704_230438_1by20a,user1,অ,4,3,1,3,0
20260704_230508_zz8agk,user1,অ,6,5,1,3,0
20260704_230530_8783vw,user1,অ,3,2,1,3,0
20260704_230601_9fuwl5,user1,অ,2,2,0,3,0
20260704_230631_iep9zz,user1,অ,2,1,1,3,0
20260709_222041_giojuy,user1,অ,8,5,3,3,0
20260704_230720_4nlmlz,user1,আ,5,4,1,3,0
20260704_230748_cofjqd,user1,আ,2,2,0,3,0
20260704_230823_p4djtm,user1,আ,4,3,1,3,0
20260704_230900_jm6b9y,user1,আ,4,2,2,3,0
20260704_230941_ogdcp4,user1,আ,3,3,0,3,0
20260704_231010_4ha6y7,user1,আ,3,2,1,3,0
20260728_232136_0wkg0v,user1,আ,3,2,1,3,0
20260728_232203_7c77zv,user1,আ,9,3,6,3,0
20260728_232238_kgwkds,user1,আ,9,5,4,3,0
20260728_232316_s2ep8l,user1,আ,5,2,3,3,0
20260705_210750_hp0ub6,user1,ই,6,3,3,3,0
20260705_210817_cpe63z,user1,ই,8,4,4,3,0
20260705_210847_8d63gb,user1,ই,5,4,1,3,0
20260705_210914_6z0wyv,user1,ই,2,2,0,3,0
20260705_211104_cee4mp,user1,ই,6,4,2,3,0
20260705_211129_q9xd7j,user1,ই,5,3,2,3,0
20260705_211202_fwdefr,user1,ই,3,1,2,3,0
20260705_211229_nco6f5,user1,ই,4,3,1,3,0
20260705_211257_5zxk15,user1,ই,3,3,0,3,0
20260705_211324_69n6hy,user1,ই,10,5,5,3,0
20260705_213721_6edrqn,user1,ঈ,3,3,0,3,0
20260705_213804_scynf9,user1,ঈ,4,2,2,3,0
20260705_213852_tuebtl,user1,ঈ,2,2,0,3,0
20260705_213943_7qqvt7,user1,ঈ,1,1,0,3,0
20260705_214029_z7ddbl,user1,ঈ,1,1,0,3,0
20260705_214107_b894ld,user1,ঈ,4,3,1,3,0
20260705_215457_yruoxw,user1,ঈ,5,3,2,3,0
20260705_215539_dr61qv,user1,ঈ,5,3,2,3,0
20260705_215654_07cd7w,user1,ঈ,11,4,7,3,0
20260705_215745_i5n9h7,user1,ঈ,3,3,0,3,0
20260704_232121_lcxi4y,user2,অ,3,2,1,3,0
20260704_232412_nr23lb,user2,অ,2,2,0,3,0
20260705_165947_rrdvxz,user2,অ,1,1,0,3,0
20260705_170029_180ejw,user2,অ,1,1,0,3,0
20260705_170128_b1n6nu,user2,অ,5,3,2,3,0
20260705_170207_eb9cjm,user2,অ,1,1,0,3,0
20260705_170248_sf7fcw,user2,অ,1,1,0,3,0
20260728_232630_znnts0,user2,অ,3,2,1,3,0
20260728_232652_hdsmyh,user2,অ,2,1,1,3,0
20260728_232714_hincfq,user2,অ,2,2,0,3,0
20260728_232741_j1gvgu,user2,অ,2,2,0,3,0
20260704_232148_mqf5ea,user2,আ,4,4,0,3,0
20260705_170410_psx32h,user2,আ,2,2,0,3,0
20260705_170459_x9acwr,user2,আ,1,1,0,3,0
20260705_170542_0shybi,user2,আ,1,1,0,3,0
20260705_170622_0o9xio,user2,আ,1,1,0,3,0
20260705_170735_cbvyrc,user2,আ,6,4,2,3,0
20260728_232436_9i4gi8,user2,আ,5,3,2,3,0
20260728_232459_m6l3cf,user2,আ,3,2,1,3,0
20260728_232520_l4uaan,user2,আ,2,2,0,3,0
20260728_232556_dwfz7c,user2,আ,3,2,1,3,0
20260704_232218_jf6rio,user2,ই,8,4,4,3,0
20260705_170839_hkwvju,user2,ই,2,2,0,3,0
20260705_170951_aziiah,user2,ই,3,3,0,3,0
20260705_171029_5ftejq,user2,ই,2,2,0,3,0
20260705_171118_evwpn3,user2,ই,3,3,0,3,0
20260705_171155_wvydfy,user2,ই,1,1,0,3,0
20260728_232810_781yo6,user2,ই,4,2,2,3,0
20260728_232836_pvgrxn,user2,ই,4,3,1,3,0
20260728_233118_pcjncu,user2,ই,2,2,0,3,0
